ts_recv,open,high,low,close,trades,volume
2023-05-05 15:00:00+00:00,37.44,37.45,37.44,37.45,3,12
2023-05-05 15:15:00+00:00,37.08,37.45,37.08,37.45,3,10
2023-05-05 15:30:00+00:00,37.45,37.45,37.45,37.45,1,3
2023-05-05 15:45:00+00:00,37.38,37.49,37.38,37.49,2,11
2023-05-05 16:00:00+00:00,37.08,37.1,37.08,37.1,2,2
2023-05-08 13:30:00+00:00,37.0,37.0,37.0,37.0,1,1
2023-05-08 13:45:00+00:00,37.13,37.13,37.13,37.13,3,11
2023-05-08 14:00:00+00:00,37.0,37.0,37.0,37.0,1,2
2023-05-08 14:15:00+00:00,36.98,36.98,36.97,36.97,2,4
2023-05-08 15:00:00+00:00,37.39,37.39,36.74,36.89,5,8
2023-05-08 15:15:00+00:00,36.74,36.74,36.74,36.74,1,2
2023-05-08 15:30:00+00:00,36.74,36.75,36.6,36.6,4,6
2023-05-09 13:30:00+00:00,37.23,37.23,37.23,37.23,1,1
2023-05-09 14:30:00+00:00,36.76,37.18,36.67,37.18,8,41
2023-05-09 14:45:00+00:00,37.0,37.05,36.98,37.05,7,15
2023-05-09 15:00:00+00:00,37.0,37.0,37.0,37.0,1,1
2023-05-09 15:15:00+00:00,37.0,37.0,37.0,37.0,1,1
2023-05-09 15:30:00+00:00,37.2,37.2,37.2,37.2,1,1
2023-05-10 14:00:00+00:00,37.26,37.26,37.26,37.26,1,1
2023-05-10 14:15:00+00:00,37.25,37.25,36.99,36.99,2,2
2023-05-10 16:00:00+00:00,37.02,37.08,36.88,36.88,5,108
2023-05-11 14:00:00+00:00,36.69,36.9,36.69,36.9,2,2
2023-05-11 14:15:00+00:00,37.0,37.05,37.0,37.05,4,12
2023-05-12 13:30:00+00:00,36.7,36.7,36.7,36.7,2,6
2023-05-12 14:00:00+00:00,36.5,36.5,36.5,36.5,1,1
2023-05-12 16:00:00+00:00,36.86,36.86,36.86,36.86,1,1
2023-05-15 15:00:00+00:00,37.4,37.4,36.99,36.99,2,3
2023-05-15 15:15:00+00:00,36.99,37.3,36.99,37.25,6,7
2023-05-15 16:00:00+00:00,36.97,36.97,36.97,36.97,1,4
2023-05-16 15:15:00+00:00,37.19,37.19,37.03,37.03,3,34
2023-05-17 15:00:00+00:00,37.15,37.42,37.15,37.3,10,42
2023-05-17 15:15:00+00:00,37.37,37.37,37.37,37.37,1,3
2023-05-17 15:30:00+00:00,37.49,37.49,37.49,37.49,1,1
2023-05-18 16:00:00+00:00,38.18,38.18,38.18,38.18,1,1
2023-05-19 13:30:00+00:00,38.87,38.87,38.87,38.87,1,1
2023-05-19 14:00:00+00:00,37.85,37.85,37.85,37.85,1,3
2023-05-19 14:15:00+00:00,37.88,37.88,37.88,37.88,1,3
2023-05-19 14:30:00+00:00,38.57,38.77,38.0,38.77,12,35
2023-05-19 15:30:00+00:00,38.685,38.685,38.685,38.685,1,7
2023-05-19 15:45:00+00:00,38.7,38.7,38.685,38.7,4,22
2023-05-19 16:00:00+00:00,38.685,38.685,38.685,38.685,1,3
2023-05-22 14:00:00+00:00,39.85,39.85,39.85,39.85,1,1
2023-05-22 14:45:00+00:00,39.38,39.38,39.38,39.38,3,9
2023-05-22 15:45:00+00:00,39.04,39.04,39.04,39.04,1,1
2023-05-23 13:45:00+00:00,39.32,39.32,39.11,39.11,3,39
2023-05-23 14:00:00+00:00,39.29,39.53,39.29,39.53,4,5
2023-05-23 15:00:00+00:00,39.2,39.2,39.2,39.2,1,2
2023-05-24 15:00:00+00:00,38.75,39.36,38.75,39.36,3,13
2023-05-24 15:45:00+00:00,39.565,39.61,38.94,39.5,13,519
2023-05-24 16:00:00+00:00,39.8,39.82,39.8,39.82,4,30
2023-05-25 13:45:00+00:00,39.74,39.74,39.74,39.74,1,1
2023-05-25 14:30:00+00:00,39.75,39.75,39.69,39.69,2,2
2023-05-25 14:45:00+00:00,39.6,39.6,39.6,39.6,1,1
2023-05-25 15:00:00+00:00,39.58,39.58,39.58,39.58,1,1
2023-05-25 15:15:00+00:00,39.5,39.5,39.5,39.5,1,4
